[Sat Jan 25 16:47:01 UTC 2025] VulCaN9 | Location: X: 62 Y: 85 Z: 153 | Line: 0 | 虽然有天使之箱
[Mon Jan 27 16:09:23 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 0 | 
[Mon Jan 27 16:09:23 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 1 | 
[Mon Jan 27 16:09:23 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:09:23 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:09:24 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 0 | 
[Mon Jan 27 16:09:24 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 1 | 
[Mon Jan 27 16:09:24 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:09:24 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:09:25 UTC 2025] neckProtecter | Location: X: 507 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:09:25 UTC 2025] neckProtecter | Location: X: 507 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:09:25 UTC 2025] neckProtecter | Location: X: 507 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:09:25 UTC 2025] neckProtecter | Location: X: 507 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:09:26 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:09:26 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:09:26 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:09:26 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:09:28 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:09:28 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:09:28 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:09:28 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:09:30 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:09:30 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:09:30 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:09:30 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:09:52 UTC 2025] neckProtecter | Location: X: 509 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:09:52 UTC 2025] neckProtecter | Location: X: 509 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:09:52 UTC 2025] neckProtecter | Location: X: 509 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:09:52 UTC 2025] neckProtecter | Location: X: 509 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:10:00 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 0 | 
[Mon Jan 27 16:10:00 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 1 | 
[Mon Jan 27 16:10:00 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:10:00 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:10:02 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 0 | 
[Mon Jan 27 16:10:02 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 1 | 
[Mon Jan 27 16:10:02 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:10:02 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:10:03 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:10:03 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:10:03 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:10:03 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:10:04 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 0 | 
[Mon Jan 27 16:10:04 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 1 | 
[Mon Jan 27 16:10:04 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:10:04 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:10:05 UTC 2025] neckProtecter | Location: X: 507 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:10:05 UTC 2025] neckProtecter | Location: X: 507 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:10:05 UTC 2025] neckProtecter | Location: X: 507 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:10:05 UTC 2025] neckProtecter | Location: X: 507 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:10:07 UTC 2025] neckProtecter | Location: X: 510 Y: 66 Z: -326 | Line: 0 | 
[Mon Jan 27 16:10:07 UTC 2025] neckProtecter | Location: X: 510 Y: 66 Z: -326 | Line: 1 | 
[Mon Jan 27 16:10:07 UTC 2025] neckProtecter | Location: X: 510 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:10:07 UTC 2025] neckProtecter | Location: X: 510 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:10:08 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:10:08 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:10:08 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:10:08 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:10:09 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 0 | 
[Mon Jan 27 16:10:09 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 1 | 
[Mon Jan 27 16:10:09 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:10:09 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:10:09 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:10:09 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:10:09 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:10:09 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:12:09 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 0 | 
[Mon Jan 27 16:12:09 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 1 | 
[Mon Jan 27 16:12:09 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:12:09 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:12:10 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:12:10 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:12:10 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:12:10 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:12:19 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:12:19 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:12:19 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:12:19 UTC 2025] neckProtecter | Location: X: 510 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:12:20 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 0 | 
[Mon Jan 27 16:12:20 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 1 | 
[Mon Jan 27 16:12:20 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:12:20 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:12:20 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 0 | 
[Mon Jan 27 16:12:20 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 1 | 
[Mon Jan 27 16:12:20 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 2 | 
[Mon Jan 27 16:12:20 UTC 2025] neckProtecter | Location: X: 508 Y: 65 Z: -326 | Line: 3 | 
[Mon Jan 27 16:12:21 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 0 | 
[Mon Jan 27 16:12:21 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 1 | 
[Mon Jan 27 16:12:21 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:12:21 UTC 2025] neckProtecter | Location: X: 507 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:12:24 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 0 | 
[Mon Jan 27 16:12:24 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 1 | 
[Mon Jan 27 16:12:24 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:12:24 UTC 2025] neckProtecter | Location: X: 508 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:13:07 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 0 | &l悲报
[Mon Jan 27 16:13:07 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 1 | 刷地毯机不能用
[Mon Jan 27 16:13:07 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:13:07 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 3 | 
[Mon Jan 27 16:13:10 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 0 | 悲报
[Mon Jan 27 16:13:10 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 1 | 刷地毯机不能用
[Mon Jan 27 16:13:10 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 2 | 
[Mon Jan 27 16:13:10 UTC 2025] neckProtecter | Location: X: 509 Y: 66 Z: -326 | Line: 3 | 
[Tue Jan 28 05:54:19 UTC 2025] neckProtecter | Location: X: 511 Y: 67 Z: -315 | Line: 0 | 
[Tue Jan 28 05:54:19 UTC 2025] neckProtecter | Location: X: 511 Y: 67 Z: -315 | Line: 1 | 熔炉输入
[Tue Jan 28 05:54:19 UTC 2025] neckProtecter | Location: X: 511 Y: 67 Z: -315 | Line: 2 | 
[Tue Jan 28 05:54:19 UTC 2025] neckProtecter | Location: X: 511 Y: 67 Z: -315 | Line: 3 | 
[Tue Jan 28 05:56:50 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 0 | 
[Tue Jan 28 05:56:50 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 1 | 批量
[Tue Jan 28 05:56:50 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 2 | 
[Tue Jan 28 05:56:50 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 3 | 
[Tue Jan 28 05:59:35 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 0 | 
[Tue Jan 28 05:59:35 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 1 | 批量
[Tue Jan 28 05:59:35 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 2 | 
[Tue Jan 28 05:59:35 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 3 | 
[Tue Jan 28 06:11:11 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 0 | 
[Tue Jan 28 06:11:11 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 1 | 批量
[Tue Jan 28 06:11:11 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 2 | 
[Tue Jan 28 06:11:11 UTC 2025] neckProtecter | Location: X: 511 Y: 65 Z: -316 | Line: 3 | 
[Tue Jan 28 06:34:20 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -352 | Line: 0 | 
[Tue Jan 28 06:34:20 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -352 | Line: 1 | 
[Tue Jan 28 06:34:20 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -352 | Line: 2 | 
[Tue Jan 28 06:34:20 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -352 | Line: 3 | 
[Tue Jan 28 06:34:21 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -352 | Line: 0 | 
[Tue Jan 28 06:34:21 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -352 | Line: 1 | 
[Tue Jan 28 06:34:21 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -352 | Line: 2 | 
[Tue Jan 28 06:34:21 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -352 | Line: 3 | 
[Tue Jan 28 06:34:22 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -352 | Line: 0 | 
[Tue Jan 28 06:34:22 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -352 | Line: 1 | 
[Tue Jan 28 06:34:22 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -352 | Line: 2 | 
[Tue Jan 28 06:34:22 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -352 | Line: 3 | 
[Tue Jan 28 06:34:23 UTC 2025] huihuiaxy | Location: X: 490 Y: 33 Z: -352 | Line: 0 | 
[Tue Jan 28 06:34:23 UTC 2025] huihuiaxy | Location: X: 490 Y: 33 Z: -352 | Line: 1 | 
[Tue Jan 28 06:34:23 UTC 2025] huihuiaxy | Location: X: 490 Y: 33 Z: -352 | Line: 2 | 
[Tue Jan 28 06:34:23 UTC 2025] huihuiaxy | Location: X: 490 Y: 33 Z: -352 | Line: 3 | 
[Tue Jan 28 06:34:26 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -351 | Line: 0 | 
[Tue Jan 28 06:34:26 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -351 | Line: 1 | 
[Tue Jan 28 06:34:26 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -351 | Line: 2 | 
[Tue Jan 28 06:34:26 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -351 | Line: 3 | 
[Tue Jan 28 06:34:27 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -352 | Line: 0 | 
[Tue Jan 28 06:34:27 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -352 | Line: 1 | 
[Tue Jan 28 06:34:27 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -352 | Line: 2 | 
[Tue Jan 28 06:34:27 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -352 | Line: 3 | 
[Tue Jan 28 06:34:28 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -351 | Line: 0 | 
[Tue Jan 28 06:34:28 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -351 | Line: 1 | 
[Tue Jan 28 06:34:28 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -351 | Line: 2 | 
[Tue Jan 28 06:34:28 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -351 | Line: 3 | 
[Tue Jan 28 06:34:30 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -351 | Line: 0 | 
[Tue Jan 28 06:34:30 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -351 | Line: 1 | 
[Tue Jan 28 06:34:30 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -351 | Line: 2 | 
[Tue Jan 28 06:34:30 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -351 | Line: 3 | 
[Tue Jan 28 06:34:40 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -350 | Line: 0 | 
[Tue Jan 28 06:34:40 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -350 | Line: 1 | 
[Tue Jan 28 06:34:40 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -350 | Line: 2 | 
[Tue Jan 28 06:34:40 UTC 2025] huihuiaxy | Location: X: 492 Y: 34 Z: -350 | Line: 3 | 
[Tue Jan 28 06:34:41 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -350 | Line: 0 | 
[Tue Jan 28 06:34:41 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -350 | Line: 1 | 
[Tue Jan 28 06:34:41 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -350 | Line: 2 | 
[Tue Jan 28 06:34:41 UTC 2025] huihuiaxy | Location: X: 491 Y: 34 Z: -350 | Line: 3 | 
[Tue Jan 28 06:35:40 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -350 | Line: 0 | W
[Tue Jan 28 06:35:40 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -350 | Line: 1 | 
[Tue Jan 28 06:35:40 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -350 | Line: 2 | 
[Tue Jan 28 06:35:40 UTC 2025] huihuiaxy | Location: X: 490 Y: 34 Z: -350 | Line: 3 | 
[Tue Jan 28 14:08:35 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 0 | 
[Tue Jan 28 14:08:35 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 1 | 喜报
[Tue Jan 28 14:08:35 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 2 | 刷铁机工作了
[Tue Jan 28 14:08:35 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 3 | 还是四核的
[Tue Jan 28 14:08:49 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 0 | 喜报
[Tue Jan 28 14:08:49 UTC 2025] neckProtecter | Location: X: 511 Y: 66 Z: -326 | Line: 1 | 刷铁机工作了
